,Date,close,volume,ttm_net_eps,pe_ratio,ttm_sales_per_share,book_value_per_share,ttm_fcf_per_share,current_assets,current_ratio,current_assets___inventory,quick_ratio,total_liabilities,debt_to_equity_ratio,return_on_equity,return_on_assets,tangible_equity,return_on_tangible_equity,current_liabilities,shareholder's_equity,ttm_net_income,cash_on_hand,total_share_holder_equity,revenue,gross_profit,operating_income,ebitda,net_income,eps_earnings_per_share_diluted,ps_ratio,pb_ratio,pfcf_ratio,total_assets,Industry,Ticker,pe_ratio_industry_avg
0,2009-03-31,35.12817383,18517700.0,4.392528192,10.08275992,22.05431778,15.87,5.387273075,34.84,1.63,29.48,1.38,42.31,0.97,25.67028738,13.56416033,18.97608778,68.93272789,21.33,43.79,12.25012378,15223.54502,46221.71322,15265.91953,10790.24082,4953.270112,5711.275636,3453.371837,1.237014515,2.021076061,2.418869063,8.227996531,94.48165876,Healthcare,JNJ,7.177199014624999
1,2009-06-30,36.31231489619047,13702098.412698412,4.392528192,10.082759920000003,22.05431778,15.87,5.387273075,34.84,1.63,29.48,1.38,42.31,0.97,25.67028738,13.56416033,18.97608778,68.93272789,21.33,43.79,12.25012378,15223.54502,46221.71322,15265.91953,10790.24082,4953.270112,5711.275636,3453.371837,1.237014515,2.021076061,2.418869063,8.227996531,94.48165876,Healthcare,JNJ,7.177199014624999
2,2009-09-30,40.5437663790625,13713376.5625,4.391154416,10.07132639,22.10624329,16.79,5.431080357,35.49,1.79,30.02,1.51,41.19,0.89,25.6384919,13.55458054,18.92652005,68.79526379,19.89,46.25,12.21946371,14716.0,46247.0,15239.0,10789.0,4263.0,5077.0,3208.0,1.15,2.037809008,2.418448735,8.058835437,94.33981545,Healthcare,JNJ,7.1190626025000014
3,2009-12-31,42.38708680953125,7526257.8125,4.404203342,10.06058574,22.15025597,18.27,5.448990876,35.6,1.85,30.03,1.56,41.17,0.82,25.72284576,13.63542047,19.35968519,68.62213167,19.25,50.38,12.28772959,14337.0,50384.0,15081.0,10647.0,4245.0,5090.0,3345.0,1.2,1.995095101,2.39143937,7.925780425,94.3990966,Healthcare,JNJ,7.2007514998749995
4,2010-03-31,43.95486112491803,5646518.032786885,4.4,10.09772727,22.2,18.37,5.15,39.54,1.82,34.36,1.58,44.09,0.87,25.69,13.64,19.4,69.72,21.73,50.59,12.27,19425.0,50588.0,16551.0,11239.0,2604.0,3453.0,2206.0,0.79,2.001351351,2.418617311,8.627184466,94.68,Healthcare,JNJ,7.071211982124999
5,2010-06-30,43.050304290952376,8500884.126984127,4.76,9.521008403,22.4,19.19,5.5,38.86,2.1,33.55,1.81,40.53,0.77,26.55,14.47,21.14,69.33,18.5,52.91,13.29,18010.0,52914.0,15631.0,11103.0,6280.0,7149.0,4526.0,1.62,2.023214286,2.361646691,8.24,93.44,Healthcare,JNJ,7.333415035500001
6,2010-09-30,41.565055488906246,20070148.4375,4.84,8.559917355,22.4,19.19,5.69,39.02,2.27,33.95,1.98,39.45,0.75,26.17,14.54,21.76,66.77,17.16,52.85,13.53,18901.0,52851.0,15330.0,10700.0,4220.0,5075.0,3449.0,1.23,1.849553571,2.158936946,7.281195079,92.3,Healthcare,JNJ,6.972681290875
7,2010-12-31,44.45039969625,9530314.0625,4.87,9.008213552,22.38,20.85,5.76,42.72,2.45,37.31,2.14,40.96,0.72,25.46,14.36,24.85,62.41,17.41,57.29,13.6,22126.0,57291.0,14982.0,10388.0,4219.0,5065.0,3417.0,1.23,1.96023235,2.104076739,7.616319444,98.25,Healthcare,JNJ,8.131461175624999
8,2011-03-31,43.17353900790322,5850201.612903226,4.78,9.240585774,22.06,20.66,5.21,47.31,2.05,41.93,1.82,46.33,0.82,24.28,13.79,24.57,57.77,23.07,56.58,13.33,27658.0,56579.0,15644.0,10604.0,2228.0,3159.0,1942.0,0.7,2.002266546,2.137947725,8.477927063,102.91,Healthcare,JNJ,18.160657246125005
9,2011-06-30,46.476255508095235,10712441.26984127,4.41,9.682539683,22.3,21.86,4.72,49.22,2.05,43.02,1.79,48.29,0.81,21.69,12.23,25.05,51.06,24.01,59.86,12.28,26867.0,59863.0,16173.0,11395.0,4510.0,5411.0,3476.0,1.25,1.914798206,1.953339433,9.046610169,108.15,Healthcare,JNJ,13.818133985125
